Noise Type,Test Type,Test Lag,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Static Noise,Imperfect Test (85%),0,2.15,3.98,5.52,7.13,8.58,10.14,11.92,13.21,14.82,16.02
Static Noise,Imperfect Test (90%),0,2.09,3.52,5.08,6.55,7.93,9.33,10.83,12.39,13.67,15.23
Dynamic Noise,Imperfect Test (85%),0,2.15,4.18,6.11,7.92,10.07,11.76,12.53,15.23,17.77,18.79
Dynamic Noise,Imperfect Test (90%),0,2.01,3.81,5.58,7.02,8.98,10.15,12.11,13.40,14.96,17.04
All noise structures,Perfect Test,14,1.76,3.07,4.17,5.46,6.64,8.04,9.01,10.68,11.90,12.89
All noise structures,Perfect Test,0,1.75,2.93,4.29,5.49,6.64,7.85,9.14,10.41,11.52,12.89
