Noise Type,Test Type,Test Lag,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Static noise,Imperfect Test (85%),0,0.86,0.92,0.88,0.93,0.93,0.91,0.92,0.93,0.92,0.93
Static noise,Imperfect Test (90%),0,0.9,0.93,0.92,0.9,0.93,0.92,0.93,0.93,0.92,0.93
Dynamical noise,Imperfect Test (85%),0,0.7,0.71,0.69,0.73,0.76,0.8,0.83,0.82,0.76,0.76
Dynamical noise,Imperfect Test (90%),0,0.69,0.73,0.72,0.71,0.74,0.76,0.76,0.76,0.77,0.81
All noise structures,Perfect Test,14,0.88,0.9,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.9
All noise structures,Perfect Test,0,0.9,0.93,0.91,0.91,0.93,0.93,0.93,0.92,0.93,0.93
