Noise Type,Test Type,Test Lag,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Static noise,Imperfect Test (85%),0,14277,5277,11831,6218,7573,9164,6182,7218,7851,6205
Static noise,Imperfect Test (90%),0,10539,6241,5236,10450,6659,4869,6378,7358,5545,6897
Dynamical noise,Imperfect Test (85%),0,5514,2931,3402,5737,4134,2104,15463,16885,3848,3622
Dynamical noise,Imperfect Test (90%),0,5909,3062,2567,2789,4943,4124,3365,4287,3747,2357
All noise structures,Perfect Test,14,14320,9237,7629,12603,10631,9466,8788,10988,9890,9490
All noise structures,Perfect Test,0,10812,6011,4602,9123,7260,6198,5577,7590,6597,6221
