noise_type,test_type,test_lag,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
static,Imperfect Test (85%),0,32.93,30.57,27.87,27.55,28.70,26.68,28.21,25.48,25.54,23.70
static,Imperfect Test (90%),0,32.46,26.39,27.45,25.95,25.32,25.30,25.31,26.36,24.99,26.11
dynamic,Imperfect Test (85%),0,30.69,34.25,33.81,34.59,32.26,35.47,28.60,34.26,33.57,34.08
dynamic,Imperfect Test (90%),0,30.89,30.93,34.81,31.08,33.27,30.32,32.57,30.53,30.42,33.11
all_noise_structures,Perfect Test,14,42.70,38.95,35.57,36.88,35.96,38.03,36.15,35.59,39.80,38.00
all_noise_structures,Perfect Test,0,32.63,24.88,25.14,25.83,24.89,23.97,24.94,25.37,25.22,26.57
